Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,probabilities,problem_id,processing_pattern,sigma,trial_weight_con,trial_weight_exp,trial_weight,trial_weight_con_exclude,trial_weight_exp_exclude,trial_weight_exclude,strategy,km_strategy,km_WADD,km_SAT_TTB,km_TTB_SAT,km_TTB,cluster_centers
0.0,0.0,0.6579999999999999,0.0,0.342,0.0,0.316,0.06691944444444446,0.1875,4.0,2.382,91.55008000000002,"[119.58000000000102, 76.98133738601886, 0.0, 0.0, 0.0, 0.0]",0.7655969225623015,"[1.0, 0.6437643200034978, 0.0, 0.0, 0.0, 0.0]","[[-87, -59, 53, -49, -157, -46], [-139, 11, 115, -40, -204, -116], [-51, -61, -54, 52, 84, -15], [-101, -17, 152, -16, 48, 138]]",82.02208000000002,"[107.54491228070269, 68.75641337386064, 0.0, 0.0, 0.0, 0.0]",0.6859180464960696,"[0.8993553460503567, 0.5749825503751512, 0.0, 0.0, 0.0, 0.0]","[0.09, 0.19, 0.08, 0.64]",WdVOkNPSiCkiKDf,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,1.0666666666666669,0.9947089947089948,1.0265486725663715,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,
0.0,0.0,0.7659999999999999,0.0,0.234,0.0,3.162,0.045361111111111116,0.1875,4.0,3.0210000000000004,62.65704999999999,"[21.28000000000003, 75.29703655352564, 0.0, 0.0, 0.0, 0.0]",0.7916241313960833,"[0.2688566013897656, 0.9513207397792136, 0.0, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",50.57304999999999,"[4.732991452991432, 64.5764099216718, 0.0, 0.0, 0.0, 0.0]",0.6389519898926089,"[0.05979774419445956, 0.8158737829648801, 0.0, 0.0, 0.0, 0.0]","[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,0.7733333333333334,0.9735449735449736,0.8849557522123894,"['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,
0.0,0.0,0.598,0.0,0.402,0.0,0.316,0.06978333333333334,0.1875,4.0,2.305,84.23328999999998,"[82.31092039800957, 85.52558528428031, 0.0, 0.0, 0.0, 0.0]",0.919577401746725,"[0.898590834039407, 0.9336854288676933, 0.0, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",75.01328999999998,"[68.8780845771141, 79.1376254180596, 0.0, 0.0, 0.0, 0.0]",0.8189223799126637,"[0.7519441547719907, 0.8639478757430201, 0.0, 0.0, 0.0, 0.0]","[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,1.0666666666666669,0.9947089947089948,1.0265486725663715,"['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,
0.0,0.0,0.066,0.0,0.934,0.0,3.162,0.008796141975308643,0.12577170138888888,4.0,6.516,15.96534,"[17.108351177730235, -0.20999999999999552, 0.0, 0.0, 0.0, 0.0]",0.5482603021978023,"[0.5875120596748037, -0.007211538461538314, 0.0, 0.0, 0.0, 0.0]","[[82, 45, 5, -120, -5, -22], [-3, -132, 45, 78, 5, 2], [-12, -14, 14, -43, 10, 89], [-114, 72, 25, 56, 74, 101]]",-10.09866,"[-9.86381156316922, -13.422121212121223, 0.0, 0.0, 0.0, 0.0]",-0.3467946428571427,"[-0.3387297926912481, -0.4609244921744916, 0.0, 0.0, 0.0, 0.0]","[0.31, 0.33, 0.09, 0.27]",aIfvrznIQLqTBd0,-0.8697952380952381,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,0.7733333333333334,0.9735449735449736,0.8849557522123894,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT']",0.0,0.3,0.6,0.1,
0.0,0.0,0.0,0.0,1.0,0.0,3.162,0.007825138886719875,0.07334041894217895,1.0,8.338,69.91999999999997,"[69.9199999999987, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-16, 29, 52, 15, -102, 114], [68, 33, 81, -31, 134, 13], [36, -22, 1, 47, 23, -38], [-171, -81, 65, 13, 28, -35]]",61.58199999999997,"[61.58199999999874, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8807494279176199,"[0.8807494279176091, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.05, 0.47, 0.28, 0.2]",KKfFP00BlY0FyTD,-0.5952484126984128,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,0.96,0.9735449735449736,0.9675516224188789,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['WADD', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'WADD', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'WADD', 'TTB_SAT']",0.3,0.0,0.7,0.0,
0.0,0.0,0.688,0.0,0.312,0.0,3.162,0.06976388888888889,0.1875,4.0,2.277,32.81437000000001,"[41.26743589743591, 28.98100290697672, 0.0, 0.0, 0.0, 0.0]",0.6294718971801264,"[0.7916254728071319, 0.5559371361399758, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",23.70637000000001,"[29.152051282051332, 21.236816860465048, 0.0, 0.0, 0.0, 0.0]",0.4547548436600806,"[0.5592183249961881, 0.4073818695657974, 0.0, 0.0, 0.0, 0.0]","[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,0.7733333333333334,0.9735449735449736,0.8849557522123894,"['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,
0.0,0.0,0.846,0.0,0.154,0.0,0.316,0.06971388888888891,0.1875,4.0,2.345,76.20376999999998,"[106.75, 70.64334515366492, 0.0, 0.0, 0.0, 0.0]",0.7138526463700234,"[1.0, 0.661764357411375, 0.0, 0.0, 0.0, 0.0]","[[26, 3, -7, -50, 62, 37], [170, -11, -37, 11, -44, 59], [-158, -3, -108, -8, -23, -72], [5, 21, 96, 148, 8, -72]]",66.82377000000001,"[92.3603896103896, 62.17526004728181, 0.0, 0.0, 0.0, 0.0]",0.6259837939110071,"[0.8652027129778899, 0.5824380332297953, 0.0, 0.0, 0.0, 0.0]","[0.03, 0.03, 0.2, 0.74]",Gq2ftjqDBmr2chN,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,1.0666666666666669,0.9947089947089948,1.0265486725663715,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,
0.0,0.0,0.0,0.0,1.0,0.0,3.162,0.0011478420569329662,0.06353305785123965,1.0,11.0,27.74000000000001,"[27.740000000000542, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[2, 30, -23, 26, 24, -26], [-77, 73, -11, 60, -57, 2], [-44, -40, -49, -44, 100, -98], [31, 24, -31, -144, -34, -8]]",16.74,"[16.73999999999985, 0.0, 0.0, 0.0, 0.0, 0.0]",0.603460706560923,"[0.6034607065609073, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.3, 0.19, 0.31]",2O9UAcifjV8B4g6,-0.8550555555555556,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,0.96,0.9735449735449736,0.9675516224188789,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.0,1.0,0.0,
0.0,0.0,0.0,0.0,1.0,0.0,3.162,0.004765902777777778,0.009845104166666669,1.0,15.988,24.41000000000001,"[24.409999999999872, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8382554945054946,"[0.8382554945054873, 0.0, 0.0, 0.0, 0.0, 0.0]","[[82, 45, 5, -120, -5, -22], [-3, -132, 45, 78, 5, 2], [-12, -14, 14, -43, 10, 89], [-114, 72, 25, 56, 74, 101]]",8.422,"[8.4219999999999, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2892170329670331,"[0.28921703296703544, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31, 0.33, 0.09, 0.27]",aIfvrznIQLqTBd0,-0.7538165168165168,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,0.96,0.9735449735449736,0.9675516224188789,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD']",1.0,0.0,0.0,0.0,
0.0,0.0,0.036000000000000004,0.0,0.964,0.0,0.316,0.009098563869992441,0.12018650793650792,4.0,6.14,37.939999999999976,"[37.939999999999735, 37.93999999999999, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[-120, 22, -32, -105, -105, 26], [-6, -42, -123, 68, 59, -90], [87, -117, 56, -95, 34, -15], [-72, 54, 86, 15, -103, -66]]",13.379999999999983,"[13.209709543568525, 17.939999999999984, 0.0, 0.0, 0.0, 0.0]",0.3526620980495516,"[0.3481736832780304, 0.47285187137585666, 0.0, 0.0, 0.0, 0.0]","[0.010000000000000111, 0.58, 0.06, 0.35]",12Smwv1zSNyuuxE,-0.8331333333333332,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,1.0666666666666669,0.9947089947089948,1.0265486725663715,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB', 'TTB']",0.0,0.0,0.1,0.9,
